mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error
0,793.177,0,8.69071,25.91642412,5.090817628,0.335336,0.0404855,2.003799197,1.230567951,470.94,634.0320691,25.17999343,0.74277,0.0521458,37.9855655,1.080659034,298.464,795.490345,28.20443839,0.375195,0.0133411,14.9870593,1.05021396,759.74,608.4296343,24.66636646,1.24869,0.139819,90.47424252,1.119085796,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,779.645,1245.970726,35.29831052,0.625733,0.228783,285.9113456,1.366719912,72.7025,8.526576101,1,0,8.526576101,1.11728037
0.01,793.177,0,8.69071,25.91642412,5.090817628,0.335336,0.0404855,2.003799197,1.230567951,470.94,634.0320691,25.17999343,0.74277,0.0521458,37.9855655,1.080659034,298.464,795.490345,28.20443839,0.375195,0.0133411,14.9870593,1.05021396,759.74,608.4296343,24.66636646,1.24869,0.139819,90.47424252,1.119085796,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,779.645,1245.970726,27.92212384,0.625733,0.228783,285.5918618,1.366310131,72.7025,8.526576101,1,0,8.526576101,1.11728037
0.02,793.177,0,8.69071,25.91642412,5.090817628,0.335336,0.0404855,2.003799197,1.230567951,470.94,634.0320691,25.17999343,0.74277,0.0521458,37.9855655,1.080659034,298.464,795.490345,28.20443839,0.375195,0.0133411,14.9870593,1.05021396,759.74,608.4296343,24.66636646,1.24869,0.139819,90.47424252,1.119085796,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,779.645,1245.970726,27.92212384,0.625733,0.228783,285.5918618,1.366310131,72.7025,8.526576101,1,0,8.526576101,1.11728037
0.03,793.177,0,8.69071,25.91642412,5.090817628,0.335336,0.0404855,2.003799197,1.230567951,470.94,634.0320691,25.17999343,0.74277,0.0521458,37.9855655,1.080659034,298.464,795.490345,28.20443839,0.375195,0.0133411,14.9870593,1.05021396,759.74,608.4296343,24.66636646,1.24869,0.139819,90.47424252,1.119085796,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,779.645,1245.970726,27.92212384,0.625733,0.228783,285.5918618,1.366310131,72.7025,8.526576101,1,0,8.526576101,1.11728037
0.04,793.177,0,8.69071,25.91642412,5.090817628,0.335336,0.0404855,2.003799197,1.230567951,470.94,634.0320691,25.17999343,0.74277,0.0521458,37.9855655,1.080659034,298.464,795.490345,28.20443839,0.375195,0.0133411,14.9870593,1.05021396,759.74,608.4296343,24.66636646,1.24869,0.139819,90.47424252,1.119085796,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,779.645,1245.970726,27.92212384,0.625733,0.228783,285.5918618,1.366310131,72.7025,8.526576101,1,0,8.526576101,1.11728037
0.05,791.197,0,9.23148,25.53899952,5.053612522,0.361466,0.0443829,2.149808538,1.232877993,425.893,616.0683805,24.82072482,0.691308,0.0535249,37.1722176,1.087280649,282.792,775.4418197,27.846756,0.364685,0.0133703,14.51286115,1.051319914,544.002,591.7709333,24.32634237,0.919278,0.160989,97.85804653,1.179885454,3.37867,1.838115883,1,0,1.838115883,1.54403534,72.4205,8.510023502,1,0,8.510023502,1.117508489,740.743,1209.139434,27.2165942,0.61262,0.250808,303.7198524,1.41002055,67.1559,8.194870347,1,0,8.194870347,1.122027556
0.06,787.14,0,8.8256,24.4247768,4.942142936,0.361338,0.044873,2.095296917,1.237411271,398.775,594.0711321,24.37357446,0.671258,0.0551018,36.5953701,1.091769469,269.514,751.5790707,27.41494247,0.358597,0.0135054,14.13071281,1.052430348,504.883,571.177906,23.89932857,0.883933,0.18541,107.9885947,1.213888356,2.92154,1.709251298,1,0,1.709251298,1.585051479,67.9606,8.243821929,1,0,8.243821929,1.12130296,699.451,1167.454204,26.44713595,0.599125,0.253577,296.4632769,1.423851388,59.7595,7.730426896,1,0,7.730426896,1.129358962
0.07,783.891,0,8.56334,23.36186953,4.83341179,0.366552,0.0454454,2.065452495,1.241197067,376.063,573.404875,23.94587386,0.655842,0.0569462,36.23356529,1.096349721,256.26,726.0168798,26.9447004,0.352967,0.0135175,13.66618483,1.053329372,530.116,552.3226859,23.50154646,0.959794,0.212419,119.4725234,1.225370529,2.86011,1.691185974,1,0,1.691185974,1.591301025,59.5493,7.716819293,1,0,7.716819293,1.12958707,674.327,1122.940678,25.96780699,0.600501,0.256812,288.8059291,1.428287654,56.4949,7.516308935,1,0,7.516308935,1.133044026
0.08,776.961,0,8.15503,23.00256398,4.796098829,0.354527,0.0452313,1.993410426,1.244439374,363.734,555.5981554,23.5711297,0.654671,0.0590342,36.24803027,1.099655326,246.794,703.6420348,26.5262518,0.350738,0.0136289,13.36134655,1.054139673,464.944,532.4910181,23.0757669,0.873149,0.213703,115.5649213,1.248556646,2.86011,1.691185974,1,0,1.691185974,1.591301025,55.1485,7.426203606,1,0,7.426203606,1.134658306,614.147,1085.456596,24.78198943,0.565796,0.255602,277.7989624,1.452333012,53.6281,7.323120919,1,0,7.323120919,1.136553801
0.09,774.122,0,8.22648,22.50020513,4.743438113,0.365618,0.0468771,2.029836161,1.246744192,340.74,531.0313766,23.04411805,0.641657,0.0602336,35.23830333,1.103416985,235.526,674.5426218,25.97195837,0.349164,0.0137398,12.9666696,1.05505409,425.524,519.151397,22.78489405,0.819653,0.221135,116.3116769,1.273337525,2.42489,1.557205831,1,0,1.557205831,1.642175864,53.3693,7.305429488,1,0,7.305429488,1.136884491,589.824,1051.810903,24.28629243,0.56077,0.264903,278.9605065,1.472955503,51.5328,7.178634968,1,0,7.178634968,1.13930225
